window-size,NC               ,KNN              ,NB               ,DT
0.25       ,0.467331484212826,0.965316117391742,0.57847544017001 ,0.904517774141198
0.5        ,0.54368787765443 ,0.974624503040999,0.644133948779112,0.933828925193106
0.75       ,0.583433648001615,0.979758041770272,0.695089189210272,0.948881688447252
1          ,0.604511942206345,0.983458123206474,0.733314948325556,0.95837916784202
1.25       ,0.611791200930217,0.985540346931712,0.753784995572526,0.963322826490016
1.5        ,0.613592784586549,0.98778771260923 ,0.754090934950971,0.967696151200302
1.75       ,0.612263864732579,0.988460573941014,0.746336270825222,0.968371936868632
2          ,0.608437983515488,0.988789049104385,0.736135088968403,0.969701954101575
2.25       ,0.60551190358558 ,0.989234275986277,0.73011698307347 ,0.970043858967462
2.5        ,0.602063206517385,0.989267291369731,0.724424031599969,0.970953032048217
2.75       ,0.599923353480156,0.990109826636052,0.718410169487222,0.970853415742486
3          ,0.597549272141202,0.990482529083866,0.714326276495112,0.971699152786785
3.25       ,0.594757513748229,0.990631938834905,0.707353856611512,0.972671345260492
3.5        ,0.592597200278313,0.991048422896784,0.702312204327201,0.972344520429536
3.75       ,0.590058621419105,0.990965102497716,0.696843027878327,0.972648109420401
4          ,0.587726899690771,0.991269900133217,0.693279596834512,0.97249966285182
4.25       ,0.585426875943656,0.991361184458233,0.690052231378508,0.972856660813027
4.5        ,0.583032292157502,0.991467241079863,0.684435058395334,0.974072275046125
4.75       ,0.5813073242222  ,0.99191270061019 ,0.681922113462337,0.974389879306634
5          ,0.579414814987743,0.991878218124417,0.67839462166819 ,0.974106275624204
5.25       ,0.577405949397066,0.991901761134799,0.675190593075347,0.975089322827988
5.5        ,0.576198743115024,0.991944827066708,0.672962285803589,0.97533489740799
5.75       ,0.574559746799425,0.992041064768182,0.669380204986237,0.975308678869231
6          ,0.572564197901711,0.992064842593157,0.664952120170487,0.975665424458263
6.25       ,0.570694400692387,0.992020527393969,0.662356628045348,0.975022801004968
6.5        ,0.568398767461768,0.992305960420997,0.65827243263614 ,0.975831347562511
6.75       ,0.567287561694038,0.992077569968399,0.656114882015051,0.976101660473388
7          ,0.565388235126132,0.992338927131856,0.652747507864141,0.976128304138503
