window-size,NC               ,KNN              ,NB               ,DT
0.25       ,0.275131167135162,0.962603774304439,0.544639098164335,0.908741610302234
0.5        ,0.309378624263833,0.97079739752833 ,0.55362889305607 ,0.925424162888873
0.75       ,0.324397515709875,0.975354133017814,0.573976427896969,0.936696875752905
1          ,0.33350789902245 ,0.978981136144894,0.590063263001263,0.944623148031863
1.25       ,0.33704833553502 ,0.980791412949811,0.600083865397851,0.949192623626585
1.5        ,0.338930149392465,0.983358256980017,0.607035896866228,0.952377563680399
1.75       ,0.338573655619227,0.984738547155889,0.608250972100022,0.955301079221935
2          ,0.338187909114043,0.985551238177928,0.606804084245418,0.957211724373195
2.25       ,0.337910888528637,0.985908931796191,0.604406934682838,0.956931923411127
2.5        ,0.336172022279655,0.986794955840402,0.605073821940037,0.958586170460964
2.75       ,0.337042035837418,0.987584130662767,0.604112538514024,0.959557292750528
3          ,0.337465821362316,0.987912762476158,0.60409503816881 ,0.960722081850525
3.25       ,0.337139595848317,0.988537205160249,0.602234665417358,0.961926334795491
3.5        ,0.334881879847473,0.989215191219813,0.601481785129907,0.962592847411524
3.75       ,0.333942886288054,0.989185382920138,0.599142252788525,0.96305047748911
4          ,0.333886259091722,0.989514046799865,0.598877827444509,0.963910357352388
4.25       ,0.332361371653382,0.989862403261795,0.5960551063675  ,0.963669178403435
4.5        ,0.332352971330032,0.990220705255911,0.593185526894566,0.96535471727224
4.75       ,0.331010695546098,0.99079698272364 ,0.592057684335634,0.966070240769361
5          ,0.329915501298183,0.990990267869336,0.591097855900971,0.965955663802358
5.25       ,0.328710743782641,0.99082461935212 ,0.589453890128406,0.966714251038172
5.5        ,0.328255499346182,0.990916062902048,0.588062871789095,0.966658301184051
5.75       ,0.32700486385995 ,0.991070553756891,0.586580171852298,0.966869719641852
6          ,0.324787686295518,0.991317448649328,0.585478812831243,0.967477751820991
6.25       ,0.326794943901248,0.991132307942879,0.583415583852911,0.967217882647637
6.5        ,0.324868970904864,0.991553724304723,0.581645460115344,0.968836465820989
6.75       ,0.323850510633395,0.99146580223505 ,0.581909651851265,0.968727456177464
7          ,0.32354057454572 ,0.991499066913074,0.579433567027824,0.96948657240745
