window-size,NCC              ,KNN              ,NB               ,DT
0.25       ,0.501947700014324,0.961387538811463,0.573146616256083,0.904992479450217
0.5        ,0.608628697264994,0.968709421320078,0.633107798405858,0.936280511896994
0.75       ,0.681024427038236,0.974351163652657,0.686295564664293,0.95161447603637
1          ,0.748203975124248,0.98032815260459 ,0.721613311330084,0.962986920276046
1.25       ,0.752878970824926,0.984430492773376,0.740434927799097,0.968202414137906
1.5        ,0.744330057178072,0.987652194887223,0.744524362591787,0.972982947106065
1.75       ,0.731573660798305,0.988809496281665,0.742459142475845,0.973669331818877
2          ,0.715462192376125,0.989162316732324,0.738150804453235,0.974689467392495
2.25       ,0.70056770653694 ,0.989752820077099,0.735628317935958,0.975715187600509
2.5        ,0.685327006205265,0.990328945516536,0.733997636441336,0.976595229591015
2.75       ,0.670278630561607,0.990953608211998,0.73189751651565 ,0.977989567331768
3          ,0.655032499643475,0.991161160326324,0.730951772244223,0.978579326468798
3.25       ,0.642475332068253,0.991461188113112,0.72859708053944 ,0.978339739450017
3.5        ,0.626872215944085,0.991761121905904,0.724981831377529,0.979240573456164
3.75       ,0.613200840085433,0.992167889397778,0.722788542865931,0.979704247574522
4          ,0.600544868044985,0.99224960212803 ,0.721070634010607,0.980235712339857
4.25       ,0.588458780354956,0.99235057384178 ,0.719693670416232,0.980365113669156
4.5        ,0.575188632446177,0.992422901633793,0.715984674893705,0.980465630317781
4.75       ,0.564394846288231,0.992790667666754,0.714177905664423,0.981366255726226
5          ,0.551571134443006,0.992834131661966,0.711745228583857,0.981088082355328
5.25       ,0.540330414333999,0.992881861670926,0.709654916518094,0.981727101367897
5.5        ,0.530400671729103,0.992638706336038,0.708395167040353,0.981778906025238
5.75       ,0.520464744111153,0.992764211551233,0.706237539673735,0.982379047181824
6          ,0.511800825616339,0.992909271413949,0.703559683228611,0.982183468297608
6.25       ,0.503625559204732,0.992607682815415,0.702408989528774,0.982958582737702
6.5        ,0.492723551230103,0.992854668482781,0.698934902751249,0.982549549912974
6.75       ,0.483286152154219,0.992635781281567,0.697557054846821,0.982640331630206
7          ,0.474571044139587,0.99289728596485 ,0.694266912989669,0.982896056386599
