window-size,NB               ,DT               ,KNN              ,NCC
0.25       ,0.545750637839256,0.906632189904015,0.960591362675654,0.274070363720087
0.5        ,0.553800665534286,0.903777072999718,0.958162660729877,0.308103282927469
0.75       ,0.573715497689379,0.902912374717678,0.952541714808582,0.320036705307908
1          ,0.590391601450513,0.905984912398551,0.953429096646779,0.331927786554593
1.25       ,0.597952367689476,0.902694478547859,0.948434338659761,0.330201724625654
1.5        ,0.606836669577207,0.903361328770374,0.946086390751815,0.336796391904545
1.75       ,0.605632853442531,0.896325618702382,0.93923299712052 ,0.328197102924309
2          ,0.603516012068993,0.890328934039085,0.941084231102952,0.337131318493907
2.25       ,0.605060344459839,0.888188611907392,0.935214777899787,0.328684143747233
2.5        ,0.603705165244944,0.888210936465369,0.929126881510692,0.330981685469457
2.75       ,0.605472068471885,0.878492843932345,0.92444211712309 ,0.344343712865991
3          ,0.600203818442349,0.879689493980301,0.920447593085   ,0.33066956344011
3.25       ,0.596707548451918,0.875001976182319,0.915808439866107,0.327340285439318
3.5        ,0.598775852662424,0.867996451774008,0.91111616755089 ,0.315906976826172
3.75       ,0.599529025911802,0.864037899520381,0.905502841490949,0.328081547038541
4          ,0.594831156281356,0.865964334832055,0.902572265046073,0.326900860079224
4.25       ,0.592795120397383,0.853325377555408,0.897219129824618,0.326028019119814
4.5        ,0.586438255939813,0.845720316408529,0.883868175804467,0.323724074242051
4.75       ,0.584522869716964,0.848594789697166,0.885479018797653,0.324345604943644
5          ,0.581426785332776,0.84437591003498 ,0.878872017569499,0.315838279199361
5.25       ,0.578504729124223,0.835080553034493,0.873347153912861,0.322614608308661
5.5        ,0.578824820917317,0.833797492930776,0.872912240364038,0.317831760624342
5.75       ,0.578834490608676,0.836993535844885,0.865082570745038,0.311329869366677
6          ,0.58266834559993 ,0.82558426252543 ,0.861483111365652,0.328015416851778
6.25       ,0.57131401529114 ,0.81410297938724 ,0.853720080029599,0.308514743527821
6.5        ,0.572067093701762,0.815041599778568,0.848025932776515,0.310317740403104
6.75       ,0.573835183377621,0.818643832247247,0.848670196506019,0.314597890755366
7          ,0.56574029879231 ,0.806718913411557,0.844369944508392,0.296295216839508
