window-size,NB,RF,DT,KNN,NC,LR
0.25,0.579787714290332,0.939279052367327,0.899859147539327,0.963823270857686,0.470124297978335,0.863606650518173
0.5,0.645214865876902,0.949622672338766,0.914785694449968,0.964352128427919,0.542270804043133,0.902591260974742
0.75,0.697465777926129,0.954476555107226,0.918672063149189,0.961828021675825,0.578807712975113,0.916933898524167
1,0.739442442521746,0.958514563311896,0.927040342814667,0.963484331818068,0.603721058658159,0.925946577595791
1.25,0.760236603646672,0.958772000033995,0.927942273711065,0.960122891026842,0.610220448556621,0.928600721461286
1.5,0.751579145928077,0.956664947597022,0.927468091537787,0.958702285935003,0.610582521068454,0.928588548715894
1.75,0.741033856774374,0.953011263985394,0.924114651945717,0.954367274793226,0.606225802164336,0.924323678137758
2,0.745983597807857,0.950298710362481,0.917147925119195,0.953163460943271,0.606856963062156,0.923497127891578
2.25,0.736074694438897,0.949018036212091,0.915720374469881,0.94618088378858,0.602965704630975,0.92152771067912
2.5,0.730331717783383,0.946038951691324,0.911536933494319,0.945725493713951,0.601669091718264,0.919363143503545
2.75,0.718232526373242,0.94253114585838,0.905725624035361,0.940608664404475,0.60013994470608,0.916686008059269
3,0.713256400533333,0.937564971650126,0.906700542586868,0.938346630913459,0.595779554739871,0.913169853513639
3.25,0.717770827438469,0.93341541268072,0.900184311068568,0.932414070255101,0.593324897742963,0.911043850460344
3.5,0.71557326198131,0.930386233900164,0.895303141297633,0.928011520776589,0.588723985088605,0.907187675781748
3.75,0.702480274857781,0.927940365693046,0.890165228974293,0.92356829062847,0.591041036277018,0.906445539664484
4,0.704975385536508,0.924204115040222,0.888980860208225,0.920690136801542,0.584112400382893,0.904394269440772
4.25,0.692182751498446,0.91760026033709,0.88003573430921,0.915232016806503,0.584374459467766,0.899234967155331
4.5,0.680296424862627,0.914242316252048,0.874907559405021,0.904664599315945,0.577000182875642,0.893193262723183
4.75,0.695785778011595,0.913553246180222,0.874383276196051,0.908477849844048,0.577183162949996,0.892020460521631
5,0.676251043580796,0.905741205519725,0.866025413511924,0.898213774845829,0.575862598795627,0.890423404699743
5.25,0.676302121722901,0.901242970438859,0.861571549399576,0.892442892070218,0.5714226308762,0.883281134982161
5.5,0.677479656530481,0.902464283691128,0.861584418532993,0.894512473453892,0.569412326941697,0.882695662924356
5.75,0.677557784578748,0.896442729060624,0.859483479139214,0.88865993278983,0.57393742434975,0.882953883005912
6,0.671971383232779,0.895461491409245,0.859588892064676,0.884226544451133,0.572640392973528,0.87645189809464
6.25,0.657907913965481,0.89262678545321,0.85112101666164,0.87837304622157,0.56052419434727,0.871571629136785
6.5,0.658487940119863,0.883131277439115,0.844467918190488,0.869934779001617,0.566986955148826,0.862665126201947
6.75,0.6612105179651,0.883775428709913,0.837020214850286,0.872786861607074,0.567712983715492,0.866350559359001
7,0.645424379918101,0.877045613739554,0.836570498631508,0.86803530506678,0.558428525292302,0.864771258416222
