window-size,NB               ,DT               ,KNN              ,NC
0.25       ,0.574910112265691,0.902562237102375,0.959207576132398,0.503288929130485
0.5        ,0.632859828194516,0.914761950559583,0.956090722853562,0.606735773907682
0.75       ,0.688950290417879,0.919050451985266,0.952307864756496,0.680001591199882
1          ,0.726356371543556,0.923428114527599,0.949209580333868,0.748845130448705
1.25       ,0.742900340325849,0.926163771385622,0.944764265967899,0.754560372970501
1.5        ,0.744018318316974,0.925400786613293,0.941687046899061,0.743533132249587
1.75       ,0.743432099176673,0.922100984807071,0.934670158532931,0.727920956010849
2          ,0.741859590943768,0.917197736404604,0.933388985671755,0.711691792849391
2.25       ,0.743405797770898,0.912342076368403,0.924816950264374,0.700141068345803
2.5        ,0.744087956094838,0.908070834506786,0.9213603212395  ,0.684986158623787
2.75       ,0.739950127275552,0.906852569802815,0.918540407379641,0.668212952754325
3          ,0.732484702643548,0.901763165141908,0.91552015444071 ,0.654092300753168
3.25       ,0.742623403077338,0.898617256493172,0.906665568528372,0.643594487165148
3.5        ,0.732613864866964,0.894971400962864,0.899127969541003,0.616698872730587
3.75       ,0.725868153053077,0.89082684380958 ,0.896534548211499,0.614056328382188
4          ,0.726323127679546,0.889073607810932,0.889358487762027,0.597266060345361
4.25       ,0.729226103946164,0.882581204650926,0.883046846100527,0.580108453794183
4.5        ,0.719754464076007,0.873589689742111,0.877080553699446,0.57503037480111
4.75       ,0.727082937426155,0.878756806161169,0.876365846625243,0.564242853591546
5          ,0.712008217545271,0.864381241637098,0.868188851150634,0.542536565750281
5.25       ,0.713767747257657,0.86554555697638 ,0.860036313760407,0.540562680853
5.5        ,0.718334522112445,0.860857125205526,0.862969702136714,0.527720532075932
5.75       ,0.717954246210638,0.860608102430226,0.861418079099954,0.5267849055373
6          ,0.711090829606822,0.850853896585864,0.849779114956948,0.513928593739858
6.25       ,0.702959526339088,0.849586568083343,0.846414825953036,0.507916705210017
6.5        ,0.705601044388816,0.843255758708662,0.837603601094759,0.47326690888337
6.75       ,0.707355851831428,0.842570303488409,0.834408374283739,0.472690321336197
7          ,0.690280744227483,0.842851093135471,0.839170024480478,0.463051976121226
