window-size,KNN              ,NC               ,NB               ,DT
0.25       ,0.88777103108442 ,0.471859151350314,0.541601990643688,0.822036290676248
0.5        ,0.891246406751201,0.581928864900502,0.604791231158994,0.836411191412118
0.75       ,0.889581431603879,0.660692348497596,0.663258627021218,0.845054701257269
1          ,0.883321015227611,0.725972060198636,0.700516026372902,0.849391925271144
1.25       ,0.875769233871842,0.732908311501686,0.722065165183442,0.850420875858065
1.5        ,0.872292597937805,0.722768750337671,0.723410667431529,0.847708127163898
1.75       ,0.865064158700401,0.709000713690112,0.723007019343629,0.846246171526455
2          ,0.856746188601497,0.692379899883191,0.717967041253574,0.840468135217665
2.25       ,0.850105565862406,0.678052892262919,0.723782810029909,0.839938462773788
2.5        ,0.839591076116516,0.66425937595843 ,0.716391912168281,0.83027386248108
2.75       ,0.838004786034109,0.646229624089583,0.709574924317959,0.833013015719083
3          ,0.834802260645314,0.634448706721226,0.705491146041354,0.829949913110808
3.25       ,0.82973133615673 ,0.619934544853584,0.717915824590265,0.806000617716364
3.5        ,0.827247780533479,0.607986734928618,0.708397037823895,0.823416727217757
3.75       ,0.816977701893748,0.593818585455939,0.704350726215987,0.815989974073406
4          ,0.816002288692   ,0.581912944157489,0.701799354546716,0.824691472256598
4.25       ,0.810131519209931,0.564863988733307,0.706489422785289,0.821382681985746
4.5        ,0.807433100841704,0.557550779975097,0.695340354102139,0.812172589318666
4.75       ,0.804141870999523,0.543596554594918,0.703448448287175,0.818503770640473
5          ,0.799704635479906,0.523448761931009,0.691003399430277,0.812442042666414
5.25       ,0.798125378993442,0.522613736871779,0.693143128068538,0.813200243020106
5.5        ,0.796449964255573,0.512449896883465,0.689607201400012,0.807482966926713
5.75       ,0.795632269350043,0.499669156982354,0.686683538709926,0.809693884795912
6          ,0.786930004841351,0.496298560983733,0.685232962786373,0.793630582288081
6.25       ,0.788227673341036,0.481723036495646,0.684446595066958,0.799823359495405
6.5        ,0.781088909425875,0.468921448923183,0.688004187224237,0.780482775580154
6.75       ,0.774573572954256,0.45498248805874 ,0.678583148385821,0.790647365642172
7          ,0.778291564535639,0.447807873586505,0.669170178088509,0.797346188645529
