window-size,KNN              ,NCC              ,NB               ,DT
0.25       ,0.855276545543656,0.245535953211603,0.506779823831268,0.790534409258845
0.5        ,0.838332790091791,0.279654932995903,0.517777345561741,0.785372628234064
0.75       ,0.828547757390891,0.295875495047942,0.538727205594148,0.787317916954047
1          ,0.817616169932933,0.305240949198688,0.550811195154882,0.790680703397184
1.25       ,0.818847180882166,0.307726198643952,0.56283059871575 ,0.786985319190958
1.5        ,0.811260917954839,0.308981661248327,0.570820688846929,0.779434660792285
1.75       ,0.810242565123109,0.308695491421332,0.571668007593057,0.774278240112179
2          ,0.808943144255236,0.308965335252749,0.568763565456623,0.77681626793
2.25       ,0.808237384128212,0.310995547136294,0.569055398700801,0.7771405217309
2.5        ,0.806711865038119,0.308932022289743,0.567942646524591,0.765087184228029
2.75       ,0.804049236974472,0.308006304613083,0.566323332495268,0.76603607074994
3          ,0.797741182561163,0.30779418242905 ,0.564545341921552,0.761488579359254
3.25       ,0.799884871889744,0.304456895604527,0.559195774164591,0.751503526596381
3.5        ,0.795233690427006,0.305482235708455,0.563832323382288,0.754708463108942
3.75       ,0.79571101342021 ,0.302884562496916,0.559336353781047,0.763616445136324
4          ,0.803058392354457,0.304307096636586,0.557968074747374,0.753310197224612
4.25       ,0.793722091810312,0.302323201109602,0.554967196826346,0.746218627828327
4.5        ,0.789090476239875,0.298442491314561,0.551012112977454,0.746396979721056
4.75       ,0.792992100753351,0.29849242760159 ,0.551209005388166,0.756746875750477
5          ,0.785240223221556,0.295259213595384,0.548873421462188,0.738096265692276
5.25       ,0.788855901489087,0.300747886735942,0.546339325914195,0.721490548978215
5.5        ,0.792453590028304,0.294090269373939,0.541041441360062,0.739960938257509
5.75       ,0.78269369974529 ,0.296509430562591,0.542751420616734,0.734086441872438
6          ,0.785645834581207,0.292422812005444,0.543046200623418,0.721093921667947
6.25       ,0.77663064415516 ,0.289710591644293,0.536226311680517,0.722081575758483
6.5        ,0.778953167857925,0.286865310280729,0.540927775001826,0.711958004210509
6.75       ,0.778850956786103,0.288923648475483,0.540718209346596,0.728859389958326
7          ,0.777547208485943,0.286573909668737,0.533770045453352,0.719229709391125
