window-size,KNN              ,DT               ,NB               ,NC
0.25       ,0.889681225269145,0.822574998551933,0.541485897056816,0.471764709538751
0.5        ,0.892856497814186,0.845075926036562,0.604436703938309,0.581636641245329
0.75       ,0.890764556383331,0.847475926032412,0.659370890060033,0.660981591973036
1          ,0.885559191029016,0.854433892522621,0.699050653219166,0.726503009659393
1.25       ,0.879339664311367,0.847256779676689,0.719794345024501,0.731206196170186
1.5        ,0.872873337023451,0.848072929492067,0.724147640539529,0.722458792557217
1.75       ,0.863180581928261,0.844373330425933,0.720704412938845,0.709242592140465
2          ,0.855858543948481,0.84148861189504 ,0.717379847272871,0.69354001217488
2.25       ,0.849331209838235,0.832883495951766,0.715356787045307,0.679277704744383
2.5        ,0.844277411246399,0.835809349512255,0.713494964774641,0.663822315070911
2.75       ,0.838537983173498,0.826092493342754,0.711771925558455,0.649369314555312
3          ,0.833204448285003,0.822176119696654,0.70975741691163 ,0.633958613455226
3.25       ,0.828274116348686,0.824801175871245,0.707385086448972,0.620099936239317
3.5        ,0.823252082228844,0.817846451049527,0.704566912413506,0.605800613693963
3.75       ,0.818184677353309,0.818856361468005,0.701965924770017,0.593432372474062
4          ,0.813438330095152,0.80970127489611 ,0.699519503841304,0.579708031356933
4.25       ,0.808523503891314,0.806497537358503,0.696929719555947,0.566977761312029
4.5        ,0.803230000363757,0.805315230556913,0.694012649556701,0.553561906883301
4.75       ,0.799992138770587,0.800427517379995,0.691511061106728,0.54143021275235
5          ,0.796668481063802,0.800344602433085,0.689222274233521,0.529786775678839
5.25       ,0.794687119922639,0.798804478432581,0.68725687190986 ,0.51942468895635
5.5        ,0.792278308783625,0.799178025493453,0.684712973065471,0.508317290921157
5.75       ,0.786645084757226,0.795881533178007,0.682749467742473,0.498246719907335
6          ,0.780671339081471,0.786401903928454,0.680319883121886,0.488555564448888
6.25       ,0.776529470001898,0.789984097102709,0.67813607428679 ,0.479853527198997
6.5        ,0.774315520343194,0.792790840140722,0.675527923520812,0.471385222547446
6.75       ,0.770435636064525,0.781862303592683,0.672940615098595,0.463312734808535
7          ,0.766635888853685,0.785547431058507,0.670349872412013,0.454669823815761
