window-size,NCC              ,NB               ,KNN              ,DT
0.25       ,0.247565077323325,0.506182971866225,0.860956893198226,0.787613308433848
0.5        ,0.282468812353229,0.516969899007485,0.840624618228783,0.78085338823736
0.75       ,0.298307282294226,0.537568132679204,0.832375463838006,0.788674305175861
1          ,0.308773292502834,0.550647754113775,0.819832558164218,0.786799893243076
1.25       ,0.311123439008584,0.562124387056882,0.815605685177164,0.787380006850746
1.5        ,0.313735026629692,0.569385744421328,0.804084855005052,0.776712934282664
1.75       ,0.313340967742201,0.571345171623159,0.79733435578999 ,0.750370722228767
2          ,0.312700386240156,0.568656951142072,0.791884090514616,0.771942515602518
2.25       ,0.312344935372827,0.567492217638572,0.790606040734502,0.758578820855358
2.5        ,0.311357706246452,0.567519898425622,0.785559133667222,0.744560345987155
2.75       ,0.311709922970648,0.565074395247758,0.782948960176603,0.753820213807444
3          ,0.31028188550646 ,0.564848281291362,0.780671189770266,0.742229602363149
3.25       ,0.309626744303301,0.561300845583009,0.774933642189079,0.740385946070875
3.5        ,0.307980819470483,0.560819336546804,0.770104476546203,0.733790568192972
3.75       ,0.307289177897376,0.557825641849893,0.768224463680507,0.730280247067082
4          ,0.306770860097536,0.555856079144977,0.767359897639956,0.729244056372064
4.25       ,0.306112033606326,0.553784070098265,0.765584043790859,0.711857552187625
4.5        ,0.304694070325564,0.551603264538558,0.762079885160204,0.715576950081874
4.75       ,0.303363678687305,0.549676686799033,0.756619984065591,0.716400802446495
5          ,0.302374945758841,0.547631611506927,0.752602014823739,0.709008252441079
5.25       ,0.301417942369765,0.547215075680392,0.74992976637741 ,0.718332867068942
5.5        ,0.299826012466105,0.544521349089605,0.745694028018851,0.71324252217002
5.75       ,0.298452259628169,0.543361618640817,0.744481929861959,0.714176946413065
6          ,0.297048414847062,0.541498715881343,0.743136304273453,0.709052500544799
6.25       ,0.296417292765153,0.539879950282591,0.740554399909373,0.703337149328328
6.5        ,0.295633767806077,0.538316564486407,0.737971542020127,0.69634051658906
6.75       ,0.295110588143007,0.536946060267621,0.735376104503378,0.697580155093135
7          ,0.29455795781941 ,0.535248905154836,0.733306302419793,0.694710938412358
